h2	doxcnLxXyh7j2H1Qhe0Exw24EJg	2026-07-14 09:06 GitHub 项目主题条目
h3	doxcnGO9BX43xgkyFkYtWlm1Cph	模型发布与模型能力
li	doxcn3cX6tteFcJBgcjLtIHZGOf	SuperBruceJia/Awesome-Mixture-of-Experts（P1）：适用场景：MoE/MoME 模型能力、稀疏专家架构、benchmark 和论文线索索引。成熟度：stars 67；README 已确认是 awesom
h3	doxcn0CB80lFZxdRFrUafj9ffIc	Agent 与多智能体
li	doxcnQ76Qb4qfckaUenARWLCFnf	nambok/mentedb（P0）：适用场景：Agent 长期记忆、上下文预组装、向量索引和知识图谱的底层数据库选型。成熟度：stars 106；README 已确认 Beta，带 crates.io/docs.rs/CI/npm/PyP
li	doxcnGzjpmBrKU2o21rFDYeEeCb	LeandroPG19/cuba-memorys（P1）：适用场景：MCP server 形式的 Agent 持久记忆、图谱记忆、情景记忆、矛盾检测和触发器。成熟度：stars 26；README 已确认 PyPI/npm/MCP Regi
li	doxcnQYXejHE6ud7DPBCq39LHUc	Aploide/spettro（P1）：适用场景：terminal-native multi-agent coding assistant、TUI、模型选择和本地/远端 provider 抽象。成熟度：stars 26；README 已确认
li	doxcnYjNk2HbrypgMtMvn5NEqgg	jeremylongshore/claude-code-slack-channel（P1）：适用场景：Claude Code/Agent 的 Slack ChatOps 治理、策略门禁、审计日志、身份隔离和多 Agent loop 控制。成
li	doxcnqls8wXJPEJeg0uOCFGf5Xc	rajkripal/cashew（P1）：适用场景：轻量 thought-graph memory、个人知识图谱、SQLite/向量搜索和 Claude Code/Agent 长期记忆对比。成熟度：stars 24；README 已确认 P
h3	doxcnaVHhJ2WJjyHS4DdXsTCefh	RAG 与知识工程
li	doxcn3eDl1so6ueddmlUWAn4pHg	MarcoPorcellato/matryca-plumber（P0）：适用场景：Logseq/Markdown 本地语义索引、link hygiene、CLI/MCP 和个人知识库 Agent 接入。成熟度：stars 81；README
li	doxcnj3n9VMMP518sjmxk5jGyWc	antflydb/antfly（P0）：适用场景：分布式多模态检索、BM25+向量+图遍历、自动 embedding/chunking/graph edge 与内置 RAG agents。成熟度：stars 415；README 已确认 Q
h3	doxcnTQMQRTPt1eivzOq0jXAlzZ	推理系统与工程工具
li	doxcng9csZXl1AHQpsm1hByD0Pg	the-open-engine/opcore（P1）：适用场景：Coding Agent 的本地代码图、编辑前质量门禁、安全符号编辑、pre-commit/MCP 防误改层。成熟度：stars 11；README 可访问但需继续确认安装和支
li	doxcnOUpxeyCWfdkRyUHyU6Pdzb	sssstwee/switch-plus-plus（P1）：适用场景：Claude Code、Codex、Hermes、OpenCode 等多 Agent 配置切换、模型路由和本地 OpenAI/Anthropic gateway。成熟度：
h3	doxcnHZxBSxxjYDAbtr5tqxzHQl	Agent 与多智能体
li	doxcnLDQXl5zqeTmp4JIuvYZwSg	cordum-io/cordum（P0）：适用场景为 Agent 工具调用安全门禁、生产变更审批、MCP/shell/workflow 风险动作审计；成熟度为 490 stars，README 已确认 quickstart 与 safety
li	doxcnVUz6HVX53ruvFcJvkDGzNh	universal-tool-calling-protocol/go-utcp（P0）：适用场景为 Go 服务中的工具调用协议抽象、provider 配置、工具仓库和 MCP 兼容层评估；成熟度为 119 stars，官方实现但生态采用率未
li	doxcnUHYajk6iqOWGxvGjctfQAb	xalgord/xalgorix（P0）：适用场景为安全 Agent、自动化渗透测试编排、红队能力评估与 Agent sandbox 策略研究；成熟度为 738 stars，但运行隔离、合法授权流程和误报率未确认。详情：https://my
li	doxcncXl0Imq53KXsujTBDFQsUh	eric-cielo/moflo（P1）：适用场景为 Claude Code/Coding Agent 的本地记忆、路由、门禁和 MCP 工作流增强；成熟度为 14 stars，早期项目，安装和跨版本兼容需验证。详情：https://my.
li	doxcnxgPo3xmFwtsrIk15k8cEct	JamsusMaximus/trainingpeaks-mcp（P1）：适用场景为垂直 SaaS MCP connector、领域数据自然语言查询和客户端兼容性设计参考；成熟度为 108 stars，第三方服务 API/认证合规边界未确认。
li	doxcnHvSSQzcRRIUgw1iurk9hUe	jianshuo/claude-skills（P1）：适用场景为 Agent skill 包组织、多媒体生产工作流和跨 CLI agent 技能复用；成熟度为 102 stars，个人实践型仓库，依赖和通用性未确认。详情：https://m
h3	doxcnsjVwJv2Da4gwv3v92xDLZf	RAG 与知识工程
li	doxcnSCwuCwNm5KJib35iUF6lAh	lukaszliniewicz/ChaReCo（P1）：适用场景为 repo-to-context、代码审查上下文打包、离线 LLM 咨询和轻量 RAG 数据准备；成熟度为 36 stars，GUI/CLI 目标明确，但大仓库性能和 tok
h3	doxcn2bzvStbJWkv7ufeb6wGdCg	推理系统与工程工具
li	doxcnLANK3LDKDyk1CIBkzbNXsc	cordum-io/cordum（P0）：适用场景为 LLM gateway 或 Agent runtime 的风险动作控制面；成熟度中等，需验证策略 DSL、审批流和审计后端。详情：https://my.feishu.cn/docx/IX
li	doxcnlCuCFKqcw2iZ2rnOLDHdyg	universal-tool-calling-protocol/go-utcp（P0）：适用场景为工具调用协议层、provider abstraction 和 Go 后端集成；成熟度早期，需验证 API 稳定性。详情：https://my.
li	doxcnoaOy0yeXSFzY1QDtU1YwYg	xalgord/xalgorix（P0）：适用场景为安全工程自动化和 Agent 风险控制研究；成熟度关注度较高，但敏感能力需审慎评估。详情：https://my.feishu.cn/docx/IXZGdmtp2oCKKJxfWsXcrBb
li	doxcnh2iyLQGNJ5LKZ4zMpvxdid	eric-cielo/moflo（P1）：适用场景为本地 coding agent 编排、记忆和门禁体验设计；成熟度早期，适合观察。详情：https://my.feishu.cn/docx/IXZGdmtp2oCKKJxfWsXcrBbTn
li	doxcn8W3miu4pxqwEy5BA6nQsSf	SemiAnalysisAI/InferenceX-app（P1）：适用场景为推理 benchmark dashboard、硬件/后端对比和模型服务回归展示；成熟度为 36 stars，采集器与指标口径未确认。详情：https://my.f
h3	doxcn9FUhv8AMpmL4ugohKzkxWd	多模态与生成媒体
li	doxcnGabDdQxROtqPNBdmVZmCxg	jianshuo/claude-skills（P1）：适用场景为视频转写、翻译、配音、字幕、多机位和发布流程的 agent skill 化；成熟度为个人实践集合，依赖安装与执行稳定性未确认。详情：https://my.feishu.cn/d
h3	doxcnBnTkAijrvbYBBwh4U0tCBe	评测与基准
li	doxcnGyU2b16oP34T1sPAZyobMf	SemiAnalysisAI/InferenceX-app（P1）：适用场景为 continuous inference benchmark 数据可视化、推理性能趋势看板和硬件/模型/后端对比；成熟度早期，benchmark 方法学与数据源
h3	doxcnimgesmvVm7oh9cBwaGz7Wh	产品与商业化
li	doxcnAI0jPWB3RVnhYuepc6qcKh	JamsusMaximus/trainingpeaks-mcp（P1）：适用场景为面向具体 SaaS/消费产品的数据 MCP 化和自然语言产品入口；成熟度尚可但第三方服务条款、认证安全和账号风险未确认。详情：https://my.feish
h3	doxcn8q2QOWtbG9kmZYccdTMXoe	数据集与数据工程
li	doxcnxMg7MLoiYVUh7HFprryY2b	lukaszliniewicz/ChaReCo（P1）：适用场景为把仓库/目录变成确定性文本上下文、LLM 数据准备和轻量知识工程输入；成熟度早期，过滤策略和增量处理未确认。详情：https://my.feishu.cn/docx/IXZG
li	doxcnX4Nix5uZkoZgb1i8FNngGh	mirkobozzetto/flowflow（P0）｜适用场景：语音笔记转写、向量化、SQLite/LanceDB 存储和检索数据管线。｜成熟度：158 stars；README 提供 macOS release、iOS App Store
